a,b,c
0.265944912,1.388603117,0.081174186
0.301350489,1.514707469,0.077121655
0.856946486,-1.25788391,0.251365041
1.255673224,1.376082183,0.186585342
2.268987007,1.762901236,0.406329706
1.538905382,1.995551574,0.310927933
0.841702755,1.752032598,0.004451104
1.195933441,-0.142784408,0.031272979
0.810149877,1.268025743,0.284008454
0.944998346,1.604794769,0.001128365
1.581239836,1.204977977,0.331969641
1.66842504,1.026507174,0.328232476
1.632423136,0.855432279,0.450763251
0.963705125,-1.594407624,0.3335651
1.482763293,1.692548451,0.00069932
1.018509254,2.050619062,0.112068755
1.512354592,1.182065997,0.267864696
0.637827043,0.865704854,0.038058065
0.483589341,0.256023844,0.019130685
0.81105487,0.344584334,0.003476502
1.73438245,2.106322399,0.174508659
1.982553875,2.017599648,0.371449902
2.205009815,-0.578857509,0.286707226
2.708056037,-0.855888207,0.26163917
2.488913195,-0.678845399,0.335950648
1.572699938,-1.42564297,0.0866907
1.770493835,1.502635018,0.150252832
1.315626742,1.15462632,0.003655054
0.731876347,0.365553442,0.011197054
0.725411436,1.177496112,0.199561994
0.811094556,-2.475147039,0.048314475
0.862485273,-2.634812802,0.029610136
0.366741717,-2.47848215,0.160687405
1.201786297,-2.720729011,0.016870263
0.813574813,-0.370693509,0.253810183
2.164294596,-1.848177234,0.012113221
2.09194126,-1.912099578,0.015717029
1.900701666,-2.104485976,0.008231091
0.940267958,-1.505714616,0.407251245
1.220099565,-1.60961809,0.32018148
1.39661667,-2.223257974,0.024296543
1.522076605,-2.593417835,0.041341214
1.325138206,1.13376019,0.489195822
1.021100685,-1.613176552,0.124571361
1.69709606,1.454025111,0.116878668
1.116872893,-0.025436425,0.248889687
1.066103966,1.815034191,0.006188957
1.284588196,1.371206297,0.152235235
1.320080469,1.63765007,0.001872864
0.431190191,0.361232922,0.009357054
0.780734518,1.299662564,0.111677446
0.60444511,0.043775583,0.237963349
2.105383495,0.199251947,0.385096709
2.52759824,-0.624365856,0.355974876
1.141721957,-0.394476664,0.408997108
0.860294965,-2.334603938,0.041494261
0.714948279,0.796942649,0.245732554
0.95134685,-0.989063843,0.167343453
1.101140347,0.982940736,0.093608571
1.22122111,-0.261710117,0.070446194
1.136403731,0.570207555,0.13181532
1.078272648,-1.46101985,0.006379571
0.990724353,-0.65779004,0.004645167
1.330133564,-0.487779273,0.353665336
1.662704049,0.252218243,0.353049832
1.04562951,-2.68343041,0.045358169
1.734695722,-2.305879901,0.354737009
1.130902644,-1.708166261,0.003808217
1.084756035,-1.582401713,0.004876417
0.382932887,-0.399217804,0.155472071
0.860391034,-1.058113375,0.064664442
0.879914783,0.035153849,0.01486429
0.642106104,0.41701873,0.37212702
0.614096906,1.480354875,0.307990654
1.945968257,-0.30108734,0.255500815
1.246154213,0.221944132,0.003880066
0.949199633,0.167109816,0.04406684
0.542513884,-0.313940218,0.014349056
1.122543584,0.485466352,0.174775447
0.625427784,-2.098036654,0.045492878
1.23878619,-2.431988304,0.02358528
1.203776434,2.413531844,0.002968828
